2017-09-07,(AM),Heavy Traffic:1285,Other:159,Mechanical Problem:123,(PM),Heavy Traffic:128,Mechanical Problem:45,Other:34
2017-09-14,(AM),Heavy Traffic:1403,Other:193,Mechanical Problem:136,(PM),Heavy Traffic:266,Mechanical Problem:63,Other:34
2017-09-21,(AM),Heavy Traffic:934,Other:172,Mechanical Problem:100,(PM),Heavy Traffic:221,Mechanical Problem:48,Other:37
2017-09-28,(AM),Heavy Traffic:1580,Other:213,Mechanical Problem:147,(PM),Heavy Traffic:350,Mechanical Problem:58,Other:48
2017-10-05,(AM),Heavy Traffic:1043,Other:141,Mechanical Problem:105,(PM),Heavy Traffic:260,Mechanical Problem:51,Other:26
2017-10-12,(AM),Heavy Traffic:1395,Other:224,Mechanical Problem:159,(PM),Heavy Traffic:228,Mechanical Problem:71,Flat Tire:33
2017-10-19,(AM),Heavy Traffic:1511,Other:214,Mechanical Problem:188,(PM),Heavy Traffic:269,Mechanical Problem:70,Other:48
2017-10-26,(AM),Heavy Traffic:1569,Other:286,Mechanical Problem:193,(PM),Heavy Traffic:287,Mechanical Problem:81,Won`t Start:42
2017-11-02,(AM),Heavy Traffic:659,Other:110,Mechanical Problem:88,(PM),Heavy Traffic:139,Mechanical Problem:68,Other:44
2017-11-09,(AM),Heavy Traffic:1371,Other:238,Mechanical Problem:222,(PM),Heavy Traffic:156,Other:66,Mechanical Problem:61
2017-11-16,(AM),Heavy Traffic:1241,Other:185,Mechanical Problem:149,(PM),Heavy Traffic:150,Mechanical Problem:58,Late return from Field Trip:53
2017-11-23,(AM),Heavy Traffic:672,Mechanical Problem:134,Other:120,(PM),Heavy Traffic:79,Mechanical Problem:48,Late return from Field Trip:38
2017-11-30,(AM),Heavy Traffic:1140,Other:191,Mechanical Problem:179,(PM),Heavy Traffic:123,Other:46,Mechanical Problem:44
2017-12-07,(AM),Heavy Traffic:1371,Mechanical Problem:280,Other:230,(PM),Heavy Traffic:261,Other:96,Mechanical Problem:72
2017-12-14,(AM),Heavy Traffic:2103,Mechanical Problem:355,Other:305,(PM),Heavy Traffic:273,Mechanical Problem:105,Other:103
2017-12-21,(AM),Heavy Traffic:438,Other:91,Mechanical Problem:82,(PM),Heavy Traffic:152,Other:33,Mechanical Problem:29
2017-12-28,(AM),Heavy Traffic:387,Mechanical Problem:146,Won`t Start:95,(PM),Heavy Traffic:69,Other-Mechanical Problem:34,Won`t Start:21
2018-01-04,(AM),Heavy Traffic:1085,Weather Conditions:396,Mechanical Problem:330,(PM),Heavy Traffic:161,Mechanical Problem:64,Other:59
